,Unnamed: 0,EVENT_DATE,LATITUDE,LONGITUDE,road,state2,place
0,0,2020-05-07,40.714,-74.006,Chambers Street,NY,New York
1,1,2020-05-09,39.769,-86.15799999999999,Monument Circle,IN,Indianapolis
2,2,2020-05-17,31.15,-81.492,0,GA,Brunswick
3,3,2020-05-21,43.038,-87.906,North Jefferson Street,WI,Milwaukee
4,4,2020-05-23,41.58600000000001,-93.623,Skywalk,IA,Des Moines
5,5,2020-05-25,38.559,-89.874,0,IL,Shiloh
6,6,2020-05-26,42.28,-83.74600000000002,South Fifth Avenue,MI,Ann Arbor
7,7,2020-05-26,41.583,-87.5,0,IN,Hammond
8,8,2020-05-26,42.243,-83.618,0,MI,Ypsilanti
9,9,2020-05-26,29.76,-95.364,North Travis Tunnel,TX,Houston
10,10,2020-05-26,44.951,-93.095,East 10th Street,MN,St. Paul
11,11,2020-05-26,42.21,-83.72399999999998,0,MI,Pittsfield Charter Township
12,12,2020-05-27,45.523,-122.676,West Burnside Street,OR,Portland
13,13,2020-05-27,44.963,-92.965,10th Street North,MN,Oakdale
14,14,2020-05-27,42.243,-83.618,0,MI,Ypsilanti
15,15,2020-05-27,35.227,-80.843,East Trade Street,NC,Charlotte
16,16,2020-05-27,25.933000000000003,-81.711,0,FL,Marco Island
17,17,2020-05-27,46.787,-92.098,East Superior Street,MN,Duluth
18,18,2020-05-27,32.838,-116.972,0,CA,Santee
19,19,2020-05-27,38.58,-121.496,K Street,CA,Sacramento
20,20,2020-05-27,36.154,-95.993,West 2nd Street,OK,Tulsa
21,21,2020-05-27,39.739,-104.991,Bannock Street,CO,Denver
22,22,2020-05-27,44.971,-92.965,Hadley Avenue North,MN,Oakdale
23,23,2020-05-27,42.28,-83.74600000000002,South Fifth Avenue,MI,Ann Arbor
24,24,2020-05-27,42.21,-83.72399999999998,0,MI,Pittsfield Charter Township
25,25,2020-05-28,42.279,-71.416,Kendall Street,MA,Framingham
26,26,2020-05-28,40.585,-105.085,West Oak Street,CO,Fort Collins
27,27,2020-05-28,42.243,-83.618,0,MI,Ypsilanti
28,28,2020-05-28,45.523,-122.676,West Burnside Street,OR,Portland
29,29,2020-05-28,41.974,-91.677,2nd Avenue Southwest,IA,Cedar Rapids
30,30,2020-05-28,42.243,-83.618,0,MI,Ypsilanti
31,31,2020-05-28,34.019,-118.496,5th Street,CA,Santa Monica
32,32,2020-05-28,48.24100000000001,-122.371,0,WA,Stanwood
33,33,2020-05-28,35.15,-90.04899999999998,North 2nd Street,TN,Memphis
34,34,2020-05-28,33.521,-86.802,5th Avenue North,AL,Birmingham
35,35,2020-05-28,42.359,-71.064,Beacon Street,MA,Boston
36,36,2020-05-28,46.358,-94.201,0,MN,Brainerd
37,37,2020-05-28,41.85,-87.65,West Lumber Street,IL,Chicago
38,38,2020-05-28,46.787,-92.098,East Superior Street,MN,Duluth
39,39,2020-05-28,45.52,-123.111,0,OR,Forest Grove
40,40,2020-05-28,39.831,-77.23100000000002,0,PA,Gettysburg
41,41,2020-05-28,42.734,-84.555,West Ottawa Street,MI,Lansing
42,42,2020-05-28,36.175,-115.137,Las Vegas Boulevard North,NV,Las Vegas
43,43,2020-05-28,34.043,-118.25,East 7th Street,CA,Los Angeles
44,44,2020-05-28,37.804,-122.271,Broadway,CA,Oakland
45,45,2020-05-28,42.21,-83.72399999999998,0,MI,Pittsfield Charter Township
46,46,2020-05-28,37.334,-121.891,South Market Street,CA,San Jose
47,47,2020-05-28,44.948,-93.348,0,MN,Saint Louis Park
48,48,2020-05-28,38.104,-122.257,Quincy Alley,CA,Vallejo
49,49,2020-05-28,28.496,-81.535,0,FL,0
50,50,2020-05-28,38.744,-90.305,0,MO,Ferguson
51,51,2020-05-28,36.313,-82.353,Ashe Street,TN,Johnson City
52,52,2020-05-28,38.834,-104.821,East Pikes Peak Avenue,CO,Colorado Springs
53,53,2020-05-28,44.971,-92.965,Hadley Avenue North,MN,Oakdale
54,54,2020-05-28,42.28,-83.74600000000002,South Fifth Avenue,MI,Ann Arbor
55,55,2020-05-28,37.328,-87.499,0,KY,Madisonville
56,56,2020-05-29,35.15,-90.04899999999998,North 2nd Street,TN,Memphis
57,57,2020-05-29,37.386,-122.084,West El Camino Real,CA,Mountain View
58,58,2020-05-29,28.805,-97.004,North Main Street,TX,Victoria
59,59,2020-05-29,61.218,-149.9,West 5th Avenue,AK,Anchorage
60,60,2020-05-29,41.14,-104.82,West 24th Street,WY,Cheyenne
61,61,2020-05-29,40.808,-96.7,K Street,NE,Lincoln
62,62,2020-05-29,40.586,-122.39,Pine Street,CA,Redding
63,63,2020-05-29,35.687,-105.939,East San Francisco Street,NM,Santa Fe
64,64,2020-05-29,32.351,-95.301,West Erwin Street,TX,Tyler
65,65,2020-05-29,42.359,-71.064,Beacon Street,MA,Boston
66,66,2020-05-29,40.015,-105.27,Arapahoe Avenue,CO,Boulder
67,67,2020-05-29,40.585,-105.085,West Oak Street,CO,Fort Collins
68,68,2020-05-29,40.558,-85.65899999999998,0,IN,Marion
69,69,2020-05-29,41.308,-72.928,College Street,CT,New Haven
70,70,2020-05-29,37.779,-122.419,Polk Street,CA,San Francisco
71,71,2020-05-29,35.37300000000001,-119.019,Chester Avenue,CA,Bakersfield
72,72,2020-05-29,48.76,-122.488,Broadway,WA,Bellingham
73,73,2020-05-29,37.03,-76.345,0,VA,Hampton
74,74,2020-05-29,46.589,-112.039,West 6th Avenue,MT,Helena
75,75,2020-05-29,39.029,-96.831,0,KS,Junction City
76,76,2020-05-29,39.116,-94.627,Minnesota Avenue,KS,Kansas City
77,77,2020-05-29,35.96,-83.92200000000003,Cumberland Avenue,TN,Knoxville
78,78,2020-05-29,38.041,-84.50399999999998,Avenue of Champions,KY,Lexington
79,79,2020-05-29,44.958,-124.018,0,OR,Lincoln City
80,80,2020-05-29,39.183,-96.571,Osage Street,KS,Manhattan
81,81,2020-05-29,32.299,-90.186,East Pearl Street,MS,Jackson
82,82,2020-05-29,31.347,-89.26,0,MS,Petal
83,83,2020-05-29,42.493,-92.343,Washington Street,IA,Waterloo
84,84,2020-05-29,32.768,-117.028,0,CA,La Mesa
85,85,2020-05-29,29.955,-90.075,South Saratoga Street,LA,New Orleans
86,86,2020-05-29,30.421,-87.21700000000001,East Cervantes Street,FL,Pensacola
87,87,2020-05-29,34.257,-85.165,0,GA,Rome
88,88,2020-05-29,32.084,-81.1,North Fahm Street,GA,Savannah
89,89,2020-05-29,30.438,-84.28,Apalachee Parkway,FL,Tallahassee
90,90,2020-05-29,41.284,-84.35600000000002,0,OH,Defiance
91,91,2020-05-29,38.029,-78.477,0,VA,Charlottesville
92,92,2020-05-29,38.89,-77.009,Cannon House Tunnel,DC,Washington
93,93,2020-05-29,42.28,-83.74600000000002,South Fifth Avenue,MI,Ann Arbor
94,94,2020-05-29,42.243,-83.618,0,MI,Ypsilanti
95,95,2020-05-29,43.594,-83.889,0,MI,City of Bay City
96,96,2020-05-29,46.188,-123.831,0,OR,Astoria
97,97,2020-05-29,33.961,-83.37799999999999,North Lumpkin Street,GA,Athens-Clarke County Unified Government
98,98,2020-05-29,37.23,-80.414,0,VA,Blacksburg
99,99,2020-05-29,40.484,-88.994,North Main Street,IL,Bloomington
100,100,2020-05-29,39.017,-94.276,Southwest Jones Street,MO,Blue Springs
101,101,2020-05-29,31.15,-81.491,0,GA,Brunswick
102,102,2020-05-29,40.799,-81.378,Tuscarawas Street West,OH,Canton
103,103,2020-05-29,30.628,-96.334,University Drive East,TX,College Station
104,104,2020-05-29,38.952,-92.334,North Providence Road,MO,Columbia
105,105,2020-05-29,32.686,-117.183,0,CA,Coronado
106,106,2020-05-29,40.299,-83.068,0,OH,Delaware
107,107,2020-05-29,37.275,-107.88,0,CO,Durango
108,108,2020-05-29,41.682,-85.977,South 5th Street,IN,Elkhart
109,109,2020-05-29,42.085,-76.809,0,NY,Elmira
110,110,2020-05-29,35.198,-111.651,East Historic Route 66,AZ,Flagstaff
111,111,2020-05-29,45.52,-123.111,0,OR,Forest Grove
112,112,2020-05-29,32.725,-97.321,South Freeway,TX,Fort Worth
113,113,2020-05-29,41.88800000000001,-88.305,0,IL,Geneva
114,114,2020-05-29,41.767,-72.676,Asylum Street,CT,Hartford
115,115,2020-05-29,43.467,-112.034,West Stone Run Lane,ID,Idaho Falls
116,116,2020-05-29,36.313,-82.353,Ashe Street,TN,Johnson City
117,117,2020-05-29,20.889,-156.47299999999996,0,HI,Kahului
118,118,2020-05-29,42.29,-85.586,West South Street,MI,Kalamazoo
119,119,2020-05-29,43.801,-91.24,West Avenue South,WI,La Crosse
120,120,2020-05-29,32.319,-106.77,Avenida Encantada,NM,Las Cruces
121,121,2020-05-29,46.54600000000001,-87.40700000000002,West Bluff Street,MI,Marquette
122,122,2020-05-29,37.906,-122.545,0,CA,Mill Valley
123,123,2020-05-29,46.872,-113.994,East Broadway Street,MT,Missoula
124,124,2020-05-29,39.63,-79.956,0,WV,Morgantown
