EVENT_DATE,LATITUDE,LONGITUDE
2020-05-07,40.714,-74.006
2020-05-09,39.769,-86.158
2020-05-17,31.15,-81.492
2020-05-21,43.038,-87.906
2020-05-23,41.586,-93.623
2020-05-25,38.559,-89.874
2020-05-26,42.28,-83.746
2020-05-26,41.583,-87.5
2020-05-26,42.243,-83.618
2020-05-26,29.76,-95.364
2020-05-26,44.951,-93.095
2020-05-26,42.21,-83.724
2020-05-27,45.523,-122.676
2020-05-27,44.963,-92.965
2020-05-27,42.243,-83.618
2020-05-27,35.227,-80.843
2020-05-27,25.933,-81.711
2020-05-27,46.787,-92.098
2020-05-27,32.838,-116.972
2020-05-27,38.58,-121.496
2020-05-27,36.154,-95.993
2020-05-27,39.739,-104.991
2020-05-27,44.971,-92.965
2020-05-27,42.28,-83.746
2020-05-27,42.21,-83.724
2020-05-28,42.279,-71.416
2020-05-28,40.585,-105.085
2020-05-28,42.243,-83.618
2020-05-28,45.523,-122.676
2020-05-28,41.974,-91.677
2020-05-28,42.243,-83.618
2020-05-28,34.019,-118.496
2020-05-28,48.241,-122.371
2020-05-28,35.15,-90.049
2020-05-28,33.521,-86.802
2020-05-28,42.359,-71.064
2020-05-28,46.358,-94.201
2020-05-28,41.85,-87.65
2020-05-28,46.787,-92.098
2020-05-28,45.52,-123.111
2020-05-28,39.831,-77.231
2020-05-28,42.734,-84.555
2020-05-28,36.175,-115.137
2020-05-28,34.043,-118.25
2020-05-28,37.804,-122.271
2020-05-28,42.21,-83.724
2020-05-28,37.334,-121.891
2020-05-28,44.948,-93.348
2020-05-28,38.104,-122.257
2020-05-28,28.496,-81.535
2020-05-28,38.744,-90.305
2020-05-28,36.313,-82.353
2020-05-28,38.834,-104.821
2020-05-28,44.971,-92.965
2020-05-28,42.28,-83.746
2020-05-28,37.328,-87.499
2020-05-29,35.15,-90.049
2020-05-29,37.386,-122.084
2020-05-29,28.805,-97.004
2020-05-29,61.218,-149.9
2020-05-29,41.14,-104.82
2020-05-29,40.808,-96.7
2020-05-29,40.586,-122.39
2020-05-29,35.687,-105.939
2020-05-29,32.351,-95.301
2020-05-29,42.359,-71.064
2020-05-29,40.015,-105.27
2020-05-29,40.585,-105.085
2020-05-29,40.558,-85.659
2020-05-29,41.308,-72.928
2020-05-29,37.779,-122.419
2020-05-29,35.373,-119.019
2020-05-29,48.76,-122.488
2020-05-29,37.03,-76.345
2020-05-29,46.589,-112.039
2020-05-29,39.029,-96.831
2020-05-29,39.116,-94.627
2020-05-29,35.96,-83.922
2020-05-29,38.041,-84.504
2020-05-29,44.958,-124.018
2020-05-29,39.183,-96.571
2020-05-29,32.299,-90.186
2020-05-29,31.347,-89.26
2020-05-29,42.493,-92.343
2020-05-29,32.768,-117.028
2020-05-29,29.955,-90.075
2020-05-29,30.421,-87.217
2020-05-29,34.257,-85.165
2020-05-29,32.084,-81.1
2020-05-29,30.438,-84.28
2020-05-29,41.284,-84.356
2020-05-29,38.029,-78.477
2020-05-29,38.89,-77.009
2020-05-29,42.28,-83.746
2020-05-29,42.243,-83.618
2020-05-29,43.594,-83.889
2020-05-29,46.188,-123.831
2020-05-29,33.961,-83.378
2020-05-29,37.23,-80.414
2020-05-29,40.484,-88.994
2020-05-29,39.017,-94.276
2020-05-29,31.15,-81.491
2020-05-29,40.799,-81.378
2020-05-29,30.628,-96.334
2020-05-29,38.952,-92.334
2020-05-29,32.686,-117.183
2020-05-29,40.299,-83.068
2020-05-29,37.275,-107.88
2020-05-29,41.682,-85.977
2020-05-29,42.085,-76.809
2020-05-29,35.198,-111.651
2020-05-29,45.52,-123.111
2020-05-29,32.725,-97.321
2020-05-29,41.888,-88.305
2020-05-29,41.767,-72.676
2020-05-29,43.467,-112.034
2020-05-29,36.313,-82.353
2020-05-29,20.889,-156.473
2020-05-29,42.29,-85.586
2020-05-29,43.801,-91.24
2020-05-29,32.319,-106.77
2020-05-29,46.546,-87.407
2020-05-29,37.906,-122.545
2020-05-29,46.872,-113.994
2020-05-29,39.63,-79.956
2020-05-29,41.355,-72.1
2020-05-29,40.783,-73.966
2020-05-29,41.223,-111.974
2020-05-29,35.466,-97.513
2020-05-29,34.198,-119.18
2020-05-29,40.441,-79.996
2020-05-29,42.21,-83.724
2020-05-29,44.7,-73.453
2020-05-29,42.639,-83.291
2020-05-29,34.106,-117.596
2020-05-29,44.022,-92.47
2020-05-29,40.778,-111.888
2020-05-29,29.883,-97.941
2020-05-29,42.033,-88.085
2020-05-29,42.497,-96.405
2020-05-29,42.102,-72.59
2020-05-29,45.561,-94.162
2020-05-29,48.241,-122.371
2020-05-29,37.495,-120.847
2020-05-29,44.959,-89.63
2020-05-29,41.034,-73.763
2020-05-29,28.496,-81.535
2020-05-29,39.963,-76.728
2020-05-29,34.019,-118.496
2020-05-29,40.116,-88.244
2020-05-29,38.278,-85.737
2020-05-29,39.767,-94.848
2020-05-29,38.45,-78.869
2020-05-29,36.737,-119.786
2020-05-29,21.307,-157.858
2020-05-29,36.175,-115.137
2020-05-29,43.657,-70.259
